5,V-0
6,V-0
7,V-0
8,V-0
9,V-0
10,V-0
11,V-0
12,V-0
13,V-0
14,V-0
15,V-0
16,V-0
17,V-0
18,V-0
19,V-0
20,V-0
41,V-0
42,V-0
43,V-0
44,V-0
45,V-0
46,V-0
47,V-0
48,V-0
49,V-0
50,V-0
51,V-0
52,V-0
53,V-0
54,V-0
55,V-0
56,V-0
57,V-0
58,V-0
59,V-0
60,V-0
61,V-1
62,V-1
63,V-1
64,V-1
65,V-1
66,V-1
67,V-1
68,V-1
69,V-1
70,V-1
71,V-1
72,V-1
73,V-1
74,V-1
75,V-1
76,V-1
77,V-1
78,V-1
79,V-1
80,V-1
81,V-0
82,V-0
83,V-0
84,V-0
85,V-0
86,V-0
87,V-0
88,V-0
89,V-0
90,V-0
91,V-0
92,V-0
93,V-0
94,V-0
95,V-0
96,V-0
97,V-0
98,V-0
99,V-0
100,V-0
101,V-1
102,V-1
103,V-1
104,V-1
105,V-1
106,V-1
107,V-1
108,V-1
109,V-1
110,V-1
111,V-1
112,V-1
113,V-1
114,V-1
115,V-1
116,V-1
117,V-1
118,V-1
119,V-1
120,V-1
121,V-0
122,V-0
123,V-0
124,V-0
125,V-0
126,V-0
127,V-0
128,V-0
129,V-0
130,V-0
131,V-0
132,V-0
133,V-0
134,V-0
135,V-0
136,V-0
137,V-0
138,V-0
139,V-0
140,V-0
141,V-1
142,V-1
143,V-1
144,V-1
145,V-1
146,V-1
147,V-1
148,V-1
149,V-1
150,V-1
151,V-1
152,V-1
153,V-1
154,V-1
155,V-1
156,V-1
157,V-1
158,V-1
159,V-1
160,V-1
161,V-0
162,V-0
163,V-0
164,V-0
165,V-0
166,V-0
167,V-0
168,V-0
169,V-0
170,V-0
171,V-0
172,V-0
173,V-0
174,V-0
175,V-0
176,V-0
177,V-0
178,V-0
179,V-0
180,V-0
181,V-1
182,V-1
183,V-1
184,V-1
185,V-1
186,V-1
187,V-1
188,V-1
189,V-1
190,V-1
191,V-1
192,V-1
193,V-1
194,V-1
195,V-1
196,V-1
197,V-1
198,V-1
199,V-1
200,V-1
